data,rain_sum,precipitation_sum,precipitation_hours,precipitation_probability_max,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,windspeed_10m_max,et0_fao_evapotranspiration,shortwave_radiation_sum,precip_acum_3d,precip_acum_7d,precip_acum_14d,rain_lag1,rain_lag2,rain_trend
2026-03-12,23.0,27.8,22.0,100.0,22.0,18.7,20.1,91.0,16.0,1.44,7.13,60.8,109.8,111.6,12.6,14.4,10.4
2026-03-13,2.2,4.5,11.0,100.0,24.8,17.8,20.5,86.0,10.2,2.86,14.96,48.10000000000001,111.9,116.1,23.0,12.6,-20.8
2026-03-14,0.0,0.0,0.0,25.0,27.1,16.4,21.0,82.0,8.5,4.61,24.04,32.30000000000001,79.7,116.1,2.2,23.0,-2.2
2026-03-15,0.3,0.4,2.0,63.0,27.9,18.5,23.3,73.0,9.6,4.52,22.9,4.900000000000004,73.4,116.5,0.0,2.2,0.3
2026-03-16,0.0,0.0,0.0,0.0,31.0,18.1,24.0,70.0,13.8,5.29,25.5,0.4000000000000036,65.7,116.5,0.3,0.0,-0.3
2026-03-17,0.0,0.2,1.0,10.0,31.3,18.1,23.6,71.0,16.1,4.81,23.37,0.6000000000000036,48.7,116.7,0.0,0.3,0.0
2026-03-18,2.5,3.4,7.0,100.0,29.5,19.8,23.6,75.0,14.7,3.9,19.1,3.600000000000004,36.3,120.1,0.0,0.0,2.5
2026-03-19,3.0,5.1,10.0,100.0,26.1,20.0,22.6,81.0,9.6,2.6,12.86,8.700000000000003,13.6,123.4,2.5,0.0,0.5
2026-03-20,0.1,0.3,3.0,24.0,25.8,18.6,21.5,81.0,12.2,4.08,21.82,8.800000000000004,9.4,121.3,3.0,2.5,-2.9
2026-03-21,0.0,0.1,1.0,8.0,29.0,18.9,22.5,79.0,11.4,4.57,23.21,5.500000000000004,9.5,89.2,0.1,3.0,-0.1
2026-03-22,0.1,0.1,1.0,15.0,29.6,17.5,23.1,71.0,12.5,4.4,20.85,0.5000000000000036,9.2,82.6,0.0,0.1,0.1
2026-03-23,0.0,0.0,0.0,20.0,29.0,19.5,23.1,66.0,14.2,4.82,24.21,0.2000000000000035,9.2,74.89999999999999,0.1,0.0,-0.1
2026-03-24,0.0,0.1,1.0,8.0,31.4,17.8,23.2,68.0,14.9,4.71,23.1,0.2000000000000035,9.1,57.8,0.0,0.1,0.0
2026-03-25,2.5,3.0,9.0,98.0,28.9,20.5,24.0,67.0,11.5,4.22,20.37,3.100000000000004,8.7,45.0,0.0,0.0,2.5
2026-03-26,2.7,2.8,7.0,88.0,29.5,20.8,24.2,73.0,11.1,4.09,20.34,5.900000000000004,6.4,20.0,2.5,0.0,0.2000000000000001
2026-03-27,0.0,0.0,0.0,0.0,30.1,20.0,23.7,72.0,14.2,4.78,23.6,5.800000000000004,6.1,15.5,2.7,2.5,-2.7
2026-03-28,0.2,0.3,1.0,29.0,30.2,18.8,23.1,70.0,15.4,4.79,23.74,3.100000000000003,6.3,15.8,0.0,2.7,0.2
2026-03-29,0.0,0.0,0.0,2.0,31.1,18.9,23.3,70.0,13.4,4.79,23.25,0.3000000000000035,6.2,15.4,0.2,0.0,-0.2
2026-03-30,0.2,0.5,2.0,43.0,28.8,18.5,22.0,73.0,12.4,4.12,20.59,0.8000000000000036,6.7,15.9,0.0,0.2,0.2
2026-03-31,4.0,17.1,16.0,94.0,24.2,18.2,20.3,81.0,9.8,2.84,14.45,17.600000000000005,23.700000000000003,32.8,0.2,0.0,3.8
2026-04-01,1.5,15.9,7.0,100.0,25.1,17.3,20.4,86.0,12.2,3.13,16.62,33.50000000000001,36.6,45.3,4.0,0.2,-2.5
2026-04-02,1.9,11.2,14.0,98.0,27.2,18.7,22.0,81.0,11.9,3.72,19.67,44.2,45.00000000000001,51.4,1.5,4.0,0.3999999999999999
2026-04-03,0.0,0.2,1.0,88.0,28.0,18.8,22.7,77.0,11.1,4.25,21.8,27.300000000000004,45.2,51.3,1.9,1.5,-1.9
2026-04-04,0.6,6.9,7.0,80.0,27.9,19.1,22.7,81.0,10.3,3.88,20.23,18.300000000000004,51.8,58.1,0.0,1.9,0.6
2026-04-05,0.2,1.5,3.0,84.0,26.7,18.0,21.8,83.0,12.6,3.89,20.43,8.600000000000005,53.3,59.5,0.6,0.0,-0.3999999999999999
2026-04-06,0.3,0.3,3.0,60.0,27.4,19.0,22.3,83.0,13.0,3.68,18.9,8.700000000000005,53.1,59.8,0.2,0.6,0.0999999999999999
2026-04-07,1.5,7.5,12.0,99.0,27.8,19.8,22.6,82.0,9.5,3.0,14.79,9.300000000000004,43.5,67.2,0.3,0.2,1.2
2026-04-08,1.3,4.8,6.0,67.0,25.1,19.9,22.5,79.0,16.5,2.4,10.68,12.600000000000003,32.4,69.0,1.5,0.3,-0.1999999999999999
2026-04-09,1.6,10.7,12.0,100.0,25.5,18.9,21.0,84.0,14.5,2.76,14.52,23.0,31.9,76.9,1.3,1.5,0.3
2026-04-10,0.5,1.5,6.0,86.0,21.6,17.0,18.6,84.0,11.0,2.16,11.93,17.0,33.2,78.4,1.6,1.3,-1.1
2026-04-11,0.0,0.0,0.0,0.0,24.4,15.7,18.9,77.0,14.6,3.51,19.0,12.200000000000005,26.3,78.10000000000001,0.5,1.6,-0.5
2026-04-12,0.0,0.0,0.0,0.0,26.4,15.0,19.6,79.0,12.7,3.98,21.94,1.5000000000000036,24.8,78.10000000000001,0.0,0.5,0.0
2026-04-13,0.1,0.2,2.0,14.0,28.0,17.2,21.0,76.0,13.7,3.65,18.56,0.2000000000000035,24.7,77.80000000000001,0.0,0.0,0.1
2026-04-14,0.0,0.0,0.0,0.0,27.1,16.9,20.5,74.0,13.7,4.02,20.8,0.2000000000000035,17.2,60.7,0.1,0.0,-0.1
2026-04-15,0.0,0.0,0.0,0.0,27.5,15.8,20.5,70.0,11.6,4.19,21.87,0.2000000000000035,12.4,44.8,0.0,0.1,0.0
2026-04-16,0.0,0.0,0.0,0.0,28.2,15.9,21.3,72.0,12.1,3.96,20.35,0.0,1.7,33.6,0.0,0.0,0.0
2026-04-17,0.0,0.0,0.0,10.0,29.5,16.8,23.9,60.0,9.4,4.4,20.45,0.0,0.2,33.4,0.0,0.0,0.0
2026-04-18,0.0,1.1,4.0,72.0,28.3,20.5,23.8,61.0,14.0,3.81,17.21,1.1000000000000036,1.3,27.6,0.0,0.0,0.0
2026-04-19,0.0,0.0,0.0,8.0,28.2,18.2,22.1,69.0,13.3,4.15,20.64,1.1000000000000036,1.3,26.1,0.0,0.0,0.0
2026-04-20,0.0,0.0,0.0,0.0,26.5,16.6,20.4,69.0,11.0,4.07,21.05,1.1000000000000036,1.1,25.8,0.0,0.0,0.0
2026-04-21,0.0,0.0,0.0,0.0,26.6,15.1,19.6,72.0,13.1,3.8,19.73,0.0,1.1,18.3,0.0,0.0,0.0
2026-04-22,0.0,0.0,0.0,0.0,27.4,16.5,20.6,70.0,12.6,3.89,19.93,0.0,1.1,13.5,0.0,0.0,0.0
2026-04-23,0.0,0.0,0.0,0.0,27.1,17.3,20.6,74.0,13.4,3.53,17.81,0.0,1.1,2.8,0.0,0.0,0.0
2026-04-24,0.0,0.0,0.0,0.0,29.3,17.3,22.1,68.0,9.9,3.71,18.89,0.0,1.1,1.3,0.0,0.0,0.0
2026-04-25,0.0,0.0,0.0,2.0,29.0,19.5,24.3,56.0,16.7,4.62,19.37,0.0,0.0,1.3,0.0,0.0,0.0
2026-04-26,0.0,0.0,0.0,8.0,30.2,19.7,25.4,54.0,17.2,4.82,19.11,0.0,0.0,1.3,0.0,0.0,0.0
2026-04-27,2.8,10.9,8.0,98.0,27.5,20.5,23.2,71.0,15.0,2.71,11.8,10.900000000000004,10.9,12.0,0.0,0.0,2.8
2026-04-28,1.3,9.3,12.0,100.0,26.9,19.2,21.5,86.0,10.1,2.58,13.28,20.200000000000003,20.200000000000003,21.3,2.8,0.0,-1.4999999999999998
