data,rain_sum,precipitation_sum,precipitation_hours,precipitation_probability_max,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,windspeed_10m_max,et0_fao_evapotranspiration,shortwave_radiation_sum,precip_acum_3d,precip_acum_7d,precip_acum_14d,rain_lag1,rain_lag2,rain_trend
2026-03-12,28.6,38.6,24.0,100.0,21.4,18.0,19.7,94.0,13.9,1.36,7.07,81.80000000000001,112.4,113.6,16.1,13.8,12.5
2026-03-13,2.7,5.1,14.0,86.0,25.2,17.6,20.2,87.0,11.0,2.93,15.47,70.9,116.1,118.7,28.6,16.1,-25.9
2026-03-14,0.6,0.6,4.0,63.0,27.3,15.9,20.8,81.0,8.9,4.63,24.13,44.3,103.2,119.3,2.7,28.6,-2.1
2026-03-15,0.5,1.0,4.0,80.0,27.9,17.9,22.8,77.0,9.1,4.32,22.2,6.700000000000006,95.4,120.3,0.6,2.7,-0.0999999999999999
2026-03-16,0.0,0.0,0.0,0.0,29.9,18.2,23.0,73.0,12.5,5.02,24.93,1.6000000000000072,88.5,120.3,0.5,0.6,-0.5
2026-03-17,0.1,0.1,1.0,0.0,30.1,16.4,21.8,81.0,14.9,4.66,23.91,1.100000000000007,72.60000000000001,120.4,0.0,0.5,0.1
2026-03-18,1.1,8.4,5.0,98.0,28.1,17.5,21.7,87.0,11.9,3.65,19.06,8.500000000000007,53.8,128.8,0.1,0.0,1.0
2026-03-19,3.3,15.9,10.0,100.0,24.8,19.4,21.4,90.0,10.7,2.31,12.15,24.40000000000001,31.1,143.5,1.1,0.1,2.2
2026-03-20,0.5,0.6,5.0,27.0,25.8,17.5,21.0,84.0,12.3,3.98,21.46,24.90000000000001,26.6,142.7,3.3,1.1,-2.8
2026-03-21,0.0,0.1,1.0,2.0,28.8,17.8,21.7,84.0,15.0,4.47,23.15,16.60000000000001,26.1,129.29999999999998,0.5,3.3,-0.5
2026-03-22,0.0,0.0,0.0,17.0,29.4,17.5,22.1,78.0,11.5,4.19,20.7,0.7000000000000071,25.1,120.5,0.0,0.5,0.0
2026-03-23,0.0,0.0,0.0,22.0,27.4,18.0,21.6,79.0,13.9,4.65,24.33,0.1000000000000071,25.1,113.6,0.0,0.0,0.0
2026-03-24,0.0,0.0,0.0,6.0,29.2,16.7,21.5,80.0,14.9,4.47,23.13,0.0,25.0,97.6,0.0,0.0,0.0
